model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,pytorch,CPU,5,9.7857,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,6,9.7193,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,7,9.7752,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,8,9.8180,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,9,9.8033,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,10,9.8327,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,11,9.7158,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,12,9.7775,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,13,9.6872,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,14,9.7684,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,15,9.7362,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,16,9.5873,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,17,9.7811,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,18,9.7500,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,19,9.7546,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,20,9.6193,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,21,9.6295,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,22,9.7438,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,23,9.6422,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,24,9.7310,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,25,9.7659,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,26,9.8457,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,27,9.5589,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,28,9.9739,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,29,9.7291,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,30,9.6486,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,31,9.8379,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,32,9.7149,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,33,9.8038,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,34,9.8901,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,35,10.0043,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,36,9.7588,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,37,9.5943,9.7407,9.5125,10.0043,9.7589,0.0999
