model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,pytorch,CPU,37,7.1373,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,38,7.1258,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,39,7.1491,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,40,7.1094,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,41,7.1275,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,42,7.1149,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,43,7.1389,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,44,7.1006,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,45,7.1166,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,46,7.1005,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,47,7.0923,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,48,7.1225,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,49,7.1092,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,50,7.0737,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,51,7.1167,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,52,7.0968,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,53,7.1387,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,54,7.0820,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,55,7.0958,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,56,7.1066,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,57,7.1039,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,58,7.1310,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,59,7.1300,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,60,7.1499,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,61,7.1056,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,62,7.0519,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,63,7.0912,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,64,7.1115,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,65,7.2403,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,66,7.0681,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,67,7.1092,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,68,7.1279,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,69,7.1110,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,70,7.0904,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,71,7.1222,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,72,7.1425,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,73,7.1155,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,74,7.1425,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,75,7.1560,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,76,7.1392,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,77,7.1153,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,78,7.1121,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,79,7.1084,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,80,7.2253,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,81,7.1860,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,82,7.1959,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,83,7.2228,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,84,7.2294,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,85,7.1626,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,86,7.2256,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,87,7.1414,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,88,7.2179,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,89,7.1592,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,90,7.1508,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,91,7.2043,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,92,7.2189,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,93,7.1101,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,94,7.2059,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,95,7.1398,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,96,7.1892,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,97,7.1877,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,98,7.1401,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,99,7.1594,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,100,7.1603,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,GPU,1,0.8157,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,2,0.8068,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,3,0.8037,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,4,0.7999,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,5,0.8107,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,6,0.8031,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,7,0.7698,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,8,0.8075,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,9,0.8048,0.7911,0.7607,0.8157,0.7966,0.0166
resnet,pytorch,GPU,10,0.8123,0.7911,0.7607,0.8157,0.7966,0.0166
