ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB
1745347211.1709518,94.5,15492,0,0.0,4.0
1745347212.2318785,100.0,16245,0,0.0,4.0
1745347213.3762865,99.9,17914,0,0.0,4.0
1745347214.4990873,100.0,19471,0,0.0,4.0
1745347215.610041,100.0,21481,0,0.0,4.0
1745347216.7140307,100.0,21777,0,0.0,4.0
1745347217.8060331,100.0,22535,0,0.0,4.0
1745347218.9379807,100.0,22413,0,0.0,4.0
1745347220.0835118,100.0,24908,0,0.0,4.0
1745347221.2111578,100.0,25312,0,0.0,4.0
1745347222.3348181,100.0,25664,0,0.0,4.0
1745347223.466514,100.0,26218,0,0.0,4.0
1745347224.57405,100.0,26181,0,0.0,4.0
1745347225.7389064,100.0,24412,0,0.0,4.0
1745347226.8977358,100.0,22871,0,0.0,4.0
1745347227.9943898,100.0,22854,0,0.0,4.0
1745347229.1203694,100.0,25363,0,0.0,4.0
1745347230.2460353,100.0,25889,0,0.0,4.0
1745347231.3460298,100.0,24688,0,0.0,4.0
1745347232.458464,100.0,26361,0,0.0,4.0
1745347233.5860739,100.0,26706,0,0.0,4.0
1745347234.7543156,100.0,26109,0,0.0,4.0
1745347235.8819847,100.0,26996,0,0.0,4.0
1745347236.9940243,100.0,26774,0,0.0,4.0
1745347238.1500661,100.0,26433,0,0.0,4.0
1745347239.278052,100.0,26365,0,0.0,4.0
1745347240.4151516,100.0,25101,0,0.0,4.0
1745347241.5954363,100.0,24652,0,0.0,4.0
1745347242.7095983,98.7,22640,0,0.0,4.0
1745347243.800986,96.9,21702,0,0.0,4.0
1745347244.8581145,95.3,21805,0,0.0,4.0
1745347245.9439576,99.5,22027,0,0.0,4.0
1745347247.0700917,100.0,23048,0,0.0,4.0
1745347248.2092474,100.0,23602,0,0.0,4.0
1745347249.3260212,100.0,23817,0,0.0,4.0
1745347250.4699986,100.0,24010,0,0.0,4.0
1745347251.5660417,100.0,23516,0,0.0,4.0
1745347252.7900796,100.0,23312,0,0.0,4.0
1745347253.950283,100.0,23103,0,0.0,4.0
1745347255.0940542,100.0,23164,0,0.0,4.0
1745347256.2100534,100.0,23472,0,0.0,4.0
1745347257.292386,100.0,22144,0,0.0,4.0
1745347258.3518398,77.6,19962,0,0.0,4.0
1745347259.4498763,89.7,19441,0,0.0,4.0
1745347260.5237072,92.7,20016,0,0.0,4.0
1745347261.5792036,99.9,21492,0,0.0,4.0
1745347262.6936843,99.8,21402,0,0.0,4.0
1745347263.8021271,100.0,22263,0,0.0,4.0
1745347264.8473828,100.0,22591,0,0.0,4.0
1745347266.0443444,100.0,22695,0,0.0,4.0
1745347267.1661704,100.0,23063,0,0.0,4.0
